,Role,Description
0,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
1,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
2,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
3,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
4,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
5,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
6,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
7,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
8,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
9,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
10,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
