Role,Description
Administrative-Intern,"As an Administrative-Intern, we are seeking a professional with work experience prior to the MBA program in various fields, possessing excellent project management, interpersonal, analytical, and organizational skills. This role requires the ability to develop and implement ideas in a changing environment, with demonstrated critical thinking skills and independent motivation. Familiarity with Google's technology and business, experience with CRM tools such as Salesforce, and the capability to resolve business issues using Microsoft Excel for data analysis is preferred."
Business Strategy,"As a Business Strategy professional, we are seeking a professional with an MBA and 10 years of marketing experience with 2 years in push (email/notifications) marketing and/or CRM, possessing understanding of how to target messaging and visuals. This role requires the ability to implement marketing strategies using tools like HubSpot or Marketo, with excellent analytical skills. Familiarity with analytics software such as Google Analytics or Adobe Analytics, and the capability to grow business impact is preferred."
Business Strategy-Intern,"As a Business Strategy-Intern, we are seeking a professional with interest in the technology industry and Google's business, possessing excellent project management, interpersonal, and organizational skills. This role requires the ability to drive and implement ideas in a changing environment, with demonstrated critical thinking skills and independent motivation. Familiarity with strategic problem solving using data analytics programs like Tableau or Power BI, and the capability to handle challenging business problems is preferred."
Data Center & Network,"As a Data Center & Network professional, we are seeking a professional with the ability to work independently with minimal guidance and manage a range of projects, possessing excellent organizational, communication, and project management skills. This role requires strong commitment to operating in fast-paced conditions using tools such as Nagios or SolarWinds for network monitoring, with excellent soft skills. Familiarity with data center technologies like Cisco Networking equipment, and the capability to manage infrastructure projects is preferred."
Developer Relations,"As a Developer Relations professional, we are seeking a professional with experience as a software developer, architect, technology advocate, CTO, or consultant working with web or mobile technologies, possessing experience interacting with clients or internal stakeholders. This role requires knowledge of web application or mobile application development landscapes, including proficiency with languages such as JavaScript, Python, or Swift. Familiarity with Git/GitHub for version control, engaging third parties, and supporting developer communities using platforms like Stack Overflow is preferred."
Finance,"As a Finance professional, we are seeking a professional with CFA certification, possessing effective verbal and written communication skills. This role requires the ability to present clear and concise recommendations to management, with excellent analytical skills. Familiarity with financial modeling tools such as Microsoft Excel, MATLAB, or financial analysis software like QuickBooks, and the capability to support corporate financial strategies is preferred."
Finance-Intern,"As a Finance-Intern, we are seeking a professional with analytical skills and an interest in taking on business problems, possessing interpersonal and organizational skills. This role requires the ability to navigate an ambiguous environment, with interest in the technology industry and Google's business. Familiarity with financial analysis using tools such as Microsoft Excel, Google Sheets, or SAP FICO, and the capability to assist in financial planning is preferred."
Hardware Engineering,"As a Hardware Engineering professional, we are seeking a professional with experience with automation for silicon design, possessing extensive knowledge of Unix/Linux environments. This role requires exposure to hardware development with proficiency in using CAD software such as AutoCAD or SolidWorks, with strong problem-solving skills. Familiarity with electronic design automation tools like Cadence or Mentor Graphics, and the capability to optimize hardware workflows is preferred."
IT & Data Management,"As an IT & Data Management professional, we are seeking a multilingual speaker with 2 years of experience in NLP research or related fields, possessing proficiency in Python, C++, or other programming languages. This role requires familiarity with experimental design, research methodologies, and both qualitative and quantitative analysis, using data management tools like SQL or NoSQL databases. Familiarity with cloud platforms like AWS or Google Cloud, independent and fast-paced work environments, and the capability to operate flexibly and collaboratively is preferred."
Legal & Government Relations,"As a Legal & Government Relations professional, we are seeking a professional with excellent written and verbal communication skills, possessing strong organizational skills. This role requires commitment to legal analysis and strategy, with effective strategic problem solving skills. Familiarity with legal research databases like LexisNexis or Westlaw, Internet-related laws, and the capability to assess legal and government partnership opportunities using tools such as Microsoft Word for document management is preferred."
