x,y,z,role_id
27.64859,23.136908,-3.9740317,0
29.085028,14.513617,-10.36323,0
31.61476,20.645208,0.07898414,0
31.544096,22.24448,-3.620108,0
29.764374,16.890112,-0.67392004,0
29.764374,16.890112,-0.67392004,0
28.831005,20.229078,-2.1107533,0
29.427551,22.360212,-6.6413116,0
29.685944,16.214045,-4.340103,0
27.443779,19.289925,-5.675053,0
28.831005,20.229078,-2.1107533,0
29.685944,16.214045,-4.340103,0
26.518156,17.139599,-2.5782576,0
28.831005,20.229078,-2.1107533,0
32.481483,18.38644,-2.6016152,0
31.544096,22.24448,-3.620108,0
29.085028,14.513617,-10.36323,0
22.30568,15.944411,-6.609446,0
22.30568,15.944411,-6.609446,0
31.279564,19.223856,-5.8968635,0
25.207474,20.741268,-2.8484917,0
31.279564,19.223856,-5.8968635,0
27.443655,15.160524,-10.71285,0
27.443779,19.289925,-5.675053,0
27.443779,19.289925,-5.675053,0
28.831005,20.229078,-2.1107533,0
27.443779,19.289925,-5.675053,0
26.518156,17.139599,-2.5782576,0
31.279564,19.223856,-5.8968635,0
32.481483,18.38644,-2.6016152,0
-6.885507,-5.10041,-16.398691,1
13.46734,0.34101576,-9.256822,1
-11.694969,-17.819744,-22.531475,1
1.8611311,1.5833151,-4.2416387,1
-13.246576,-12.965429,-27.034866,1
23.820873,18.161764,8.607523,1
12.725836,1.5505593,-3.6581013,1
-9.748158,-13.347379,-31.411774,1
23.820873,18.161764,8.607523,1
-15.142237,-17.760094,9.1315975,1
-12.0203495,-12.515428,-24.93727,1
8.874615,3.4498935,-6.4786253,1
27.959858,5.242243,-5.866455,1
-12.316963,-14.091475,-17.033682,1
0.36473772,0.8559785,-4.2877164,1
-11.322149,-15.567862,-18.007954,1
18.532816,4.073697,-5.664557,1
-12.444159,-3.4350476,-18.99357,1
-8.130274,-5.3540273,-14.726254,1
15.085591,0.012385204,-6.8047447,1
-3.4888625,-2.0449145,-13.289601,1
-13.246576,-12.965429,-27.034866,1
14.92394,0.71384037,-5.140413,1
-3.4586952,0.43455335,-12.543366,1
12.418536,-5.067255,-13.518667,1
-16.413952,15.285622,4.806106,1
-4.03751,-0.19986162,-11.545671,1
-18.315603,16.329552,-5.1900516,1
-13.7592125,-13.96846,-24.814116,1
-13.246576,-12.965429,-27.034866,1
-17.988003,14.659364,-6.5749216,1
4.6678514,-3.3852377,-18.604649,1
-13.246576,-12.965429,-27.034866,1
-5.010411,-21.87359,-20.788538,1
7.828603,9.64506,-2.6749077,1
12.507728,-2.7639678,-7.026494,1
1.0694742,-4.168144,-12.515887,1
3.817138,3.7736518,-14.7605915,1
18.937456,-12.794004,-3.6666963,1
-15.246644,-11.305954,-25.079693,1
0.66265607,-8.552202,9.325602,1
-14.101916,-7.2259693,-21.059402,1
-2.790007,-5.6842093,-26.304258,1
13.546413,-0.02294827,-6.0771074,1
-15.088734,-15.679669,-27.82175,1
11.769598,-3.5409064,-16.550882,1
-23.03873,9.234414,15.130557,1
14.120201,8.358049,15.1145935,1
-17.656313,16.28421,6.3448896,1
-12.262061,-14.12403,-19.093143,1
-18.039722,17.420675,-4.4423013,1
-14.362911,13.480973,5.028746,1
7.828603,9.64506,-2.6749077,1
-14.641216,-16.650654,8.628462,1
-13.371103,-15.515793,-18.080688,1
15.793713,3.8163247,5.831632,1
16.66579,-1.9183317,-5.0765743,1
-10.419944,-17.893698,-22.117027,1
21.565441,2.6669593,-3.1814694,1
18.23606,0.86328304,-4.0737276,1
-27.076668,26.102388,6.381313,2
-23.634548,25.573294,6.67976,2
-30.676584,26.44766,2.5207675,2
-28.383568,28.705532,0.973813,2
-25.386822,22.640583,8.106033,2
-26.643873,23.079098,4.7645392,2
-26.447197,25.868286,-0.041010085,2
-24.575817,25.609644,3.1944468,2
-23.634548,25.573294,6.67976,2
-25.790932,25.884182,9.82991,2
-30.285608,29.97318,3.8823764,2
-24.940033,28.849081,0.9668282,2
-22.703098,26.03643,0.67351836,2
-24.923412,22.864035,1.3684283,2
-21.156239,25.970253,3.9444425,2
-22.919828,22.749245,4.3880677,2
-26.643873,23.079098,4.7645392,2
-22.026089,29.29563,2.7886786,2
-2.90231,1.8777274,32.288925,2
-2.90231,1.8777274,32.288925,2
-2.90231,1.8777274,32.288925,2
-18.004723,20.571232,5.975572,2
-28.629604,23.512209,1.5640552,2
-27.504925,26.32276,3.1862516,2
-30.146137,23.854324,4.984146,2
-24.721191,28.298573,4.30544,2
-21.593153,28.673265,6.479818,2
-27.635695,28.719248,5.00205,2
-28.859922,24.25345,8.308638,2
-25.120384,28.975605,7.8418393,2
-25.120384,28.975605,7.8418393,2
-26.619293,31.18346,2.9006202,2
-28.689625,28.21477,8.756489,2
-24.01872,31.480915,5.203087,2
-27.826403,31.441256,6.686388,2
-2.0557384,0.8714956,33.898254,2
-30.517511,27.103893,6.117344,2
-15.900244,-11.241042,-28.281347,2
9.352826,-17.544466,-5.01934,3
9.301049,1.5733064,-17.033083,3
-2.804247,-7.1963344,18.15841,4
5.3733544,-2.374986,28.612024,4
-4.9943523,-16.895008,8.557137,4
4.863645,-3.1479523,27.06945,4
4.5411277,-3.9708145,28.639992,4
18.674026,1.1764641,-23.73945,5
-21.082693,2.7479308,6.8003073,5
12.399213,4.3556,-28.118683,5
5.151465,5.5679693,-35.46178,5
23.578514,4.2733784,-3.729071,5
14.44597,0.96324927,-13.258914,5
15.040871,-0.47210175,-14.535719,5
-0.476293,3.9765508,-7.36327,5
20.170776,4.1513777,-23.000599,5
25.861956,5.1800165,-2.8396032,5
3.929717,15.657418,-25.996576,5
-15.015544,0.9215857,-32.53143,5
-20.290625,3.969187,6.4352694,5
12.084434,-8.731863,-14.42156,5
7.5417905,5.9139485,-28.811152,5
6.0225825,-4.5762677,-16.406145,5
20.637526,4.409512,-24.341959,5
4.0264754,-4.8134055,-26.975233,5
9.146889,-15.182506,-23.024889,5
13.721555,1.3848698,-11.263143,5
-10.668097,-6.918087,-16.30595,5
-20.96288,1.7763033,-27.29644,5
-3.2772043,-6.1453643,-23.98078,5
23.368507,-11.795966,-8.605592,5
21.277908,0.9979831,-2.650816,5
-10.983318,-2.7988362,-16.711407,5
-8.365099,-0.31449607,-13.988676,5
2.0670788,5.267772,-30.15915,5
23.716309,-10.6635475,-3.7717729,5
-4.518184,4.3557158,-18.304174,5
3.0484886,4.3115883,-32.113297,5
-0.84985656,-1.7766117,-30.34388,5
5.2129445,15.195201,-26.297354,5
0.9567717,0.902158,-33.15005,5
-0.39315072,10.549163,-32.852196,5
-0.1579073,3.4757295,-6.045054,5
-15.746515,-12.865247,0.78019935,5
5.2683697,4.428778,-32.3475,5
11.338678,3.1617947,-27.996641,5
10.9334135,1.0681251,-27.169687,5
1.5861931,2.7959812,-32.58719,5
-4.3482876,-10.779384,-18.542982,5
5.0041556,-3.9810033,-26.66917,5
-4.8861175,-6.3976946,-24.507092,5
-0.587749,-0.5748066,-23.816315,5
0.03449717,3.3323238,-31.64899,5
8.756015,4.668582,-29.618078,5
-4.518184,4.3557158,-18.304174,5
6.0145802,4.397878,-35.4311,5
4.91509,-9.751411,-13.437141,5
5.2948165,-7.3756175,-15.135987,5
26.244106,5.180929,-1.5012572,5
1.8687096,4.9806933,-8.626592,5
0.13974199,-0.3770108,-29.72808,5
-1.9746383,1.2636298,-24.667698,5
0.90900517,10.811517,-33.059765,5
-1.0400369,12.419329,-32.357883,5
13.09631,3.7173555,-12.352862,5
1.6917782,9.057291,-14.399124,5
2.1220195,8.217607,-32.67929,5
20.709066,-1.2862074,-2.3885317,5
-16.441217,0.723731,-32.201534,5
7.5416584,6.977286,-30.469078,5
-3.0753596,3.08243,-24.169182,5
-1.6711348,-0.43786192,-29.61047,5
-2.1115723,1.9606953,-38.570606,5
-3.0515432,2.2763777,-25.631517,5
-3.875326,5.0557556,-23.44212,5
-2.7403686,2.8368475,-1.397141,5
-4.3482876,-10.779384,-18.542982,5
-1.2621965,2.1627357,-37.51127,5
8.336193,4.0780115,-31.34896,5
3.1515393,-2.390211,-27.93988,5
19.6469,2.7305071,-25.085968,5
-1.9846888,-10.573749,-16.432522,5
-7.7668824,20.064186,-15.285559,6
-15.52791,22.059944,-23.121082,6
-18.295065,23.261915,10.689125,6
-7.9381323,18.731848,-16.866226,6
-17.0303,21.994967,10.510093,6
-11.440843,23.730234,-14.160556,6
-15.52791,22.059944,-23.121082,6
